# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\misc.png	176	224	248
20	textures\enemies.png	3	26	110
30	textures\enemies1.png	255	255	255
40	textures\enemies2.png	255	255	255
50	textures\map1.png	176	224	248

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0
10003	304	154	321	181	0
# idle left
10004	186	154	200	181	0
#walk
10005	155	154	170	181	0
10006	125	154	140	181	0
# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10011	247	0	259	15	0
# walk
10012	275	0	291	15	0
10013	306	0	320	15	0
# idle small left
10014	187	0	198	15	0
# walk
10015	155	0	170	15	0
10016	125	0	139	15	0
# RACCOON MARIO
# idle raccoon right
10021	243	634	264	662	0
# walk
10022	272	634	294	662	0
10023	303	634	324	662	0
# idle raccoon left
10024	182	634	203	662	0
# walk
10025	152	634	174	662	0
10026	122	634	142	662	0
# run raccoon right
10127	331	634	355	662	0
10227	362	634	385	662	0
10327	393	634	414	662	0
# run raccoon left
10427	91	634	115	662	0
10527	61	634	84	662	0
10627	32	634	53	662	0
# fly raccoon right
10128	361	714	385	742	0
10228	331	714	355	741	0
10328	361	754	385	781	0
10428	331	714	355	741	0
# fly raccoon left
10528	61	714	85	742	0
10628	91	714	115	741	0
10728	61	754	85	781	0
10828	91	714	115	741	0
# FIRE MARIO
# idle fire right
10031	246	394	260	421	0
# walk
10032	275	394	290	421	0
10033	304	394	321	421	0
# idle fire left
10034	186	394	200	421	0
# walk
10035	155	394	170	421	0
10036	125	394	140	421	0
# bullet fire
10041	240	554	248	562	0
10042	258	553	266	562	0
10043	258	574	266	582	0
10044	240	573	247	582	0
# ITEMS
20001	300	117	316	133	10
20002	318	117	334	133	10
20003	336	117	352	133	10
20004	354	117	370	133	10
# DIE ITEMS
20099	372	117	388	133	10
# GOOMBA
30001	5	14	21	29	20
30002	25	14	41	29	20
# die
30099	45	21	61	29	20
# KOOPA
# walk koopa right
40001	170	192	186	218	40
40002	187	192	203	218	40
# walk koopa left
40011	222	192	238	218	40
40012	205	192	221	218	40
# hold koopa
40021	152	202	168	218	40
# run koopa
40031	256	202	272	218	40
40032	273	202	289	218	40
40033	290	202	306	218	40
# die koopa
40099	239	202	255	218	40
# star
50001	303	99	313	115	10
50002	322	99	330	115	10
50003	341	99	347	115	10
# mushroom
60001	300	189	316	205	10
# leaf
70001	300	208	316	222	10
# way
0	96	160	112	176	50
1	112	160	128	176	50
2	128	160	144	176	50
# way height
3	16	64	32	80	50
# block manhole
4	112	0	128	16	50
5	128	0	144	16	50
# block drain body
6	160	0	176	16	50
7	0	16	16	32	50
# block green
9	128	32	144	48	50
10	144	32	160	48	50
11	160	32	176	48	50
# block pink
12	16	16	32	32	50
13	32	16	48	32	50
14	48	16	64	32	50
# block blue
15	112	64	128	80	50
16	128	64	144	80	50
17	144	64	160	80	50
# blcok white
18	128	48	144	64	50
19	144	48	160	64	50
